"","hour","starts","ends","high"
"1",1,13,30,1654
"2",2,8,14,1654
"3",3,5,3,1654
"4",4,1,2,1654
"5",5,137,10,1654
"6",6,420,42,1654
"7",7,944,270,1654
"8",8,1357,459,1654
"9",9,499,322,1654
"10",10,368,351,1654
"11",11,453,416,1654
"12",12,513,485,1654
"13",13,492,547,1654
"14",14,578,629,1654
"15",15,665,666,1654
"16",16,844,1286,1654
"17",17,956,1654,1654
"18",18,744,877,1654
"19",19,374,438,1654
"20",20,205,269,1654
"21",21,144,145,1654
"22",22,78,100,1654
"23",23,53,72,1654
"24",24,0,0,1654
